buy_date,buy_price,buy_confidence,sell_date,sell_price,sell_confidence,sell_reason,return,profit,hold_days
2023-01-09,14752.21,0.9999934434890747,2024-05-24,21565.34,0.5378192663192749,ai_signal,0.46183792123349665,415600.93000000005,327
2024-05-27,21803.77,0.9999934434890747,2024-06-18,22757.43,0.5379853248596191,ai_signal,0.04373830764129316,55312.28000000003,15
2024-06-19,23209.54,0.9999934434890747,2024-08-05,19830.88,0.952418327331543,stop_loss,-0.14557203632644167,-192583.61999999988,31
2024-08-16,22349.33,0.9999934434890747,2024-08-20,22429.1,0.6028740406036377,ai_signal,0.0035692345139650694,4068.269999999786,2
2024-09-19,22042.69,0.9999934434890747,2024-12-26,23246.94,0.5155702829360962,ai_signal,0.05463262423960047,62621.0,66
2024-12-27,23275.68,0.9999934434890747,2025-03-31,20695.9,0.9602921605110168,stop_loss,-0.11083585957531628,-134148.56000000006,57
2025-04-28,20034.41,0.9999934434890747,2025-05-20,21526.03,0.5372723340988159,ai_signal,0.07445290377904801,80547.47999999998,15
2025-05-21,21803.91,0.9999934434890747,2025-09-16,25629.64,0.5188183784484863,ai_signal,0.17546073158438102,202763.68999999994,83
2025-09-18,25769.36,0.9999934434890747,2025-09-22,25880.6,0.520801842212677,ai_signal,0.004316754471201278,5784.479999999981,2
2025-09-23,26247.37,0.9999934434890747,2025-09-24,26196.73,0.5024675130844116,ai_signal,-0.0019293361582513047,-2582.6399999998976,1
2025-10-02,26378.39,0.9999934434890747,2025-10-03,26761.06,0.5327129364013672,ai_signal,0.01450695057583129,19516.17000000016,1
2025-10-07,27211.95,0.9999934434890747,2025-10-08,27063.68,0.767771303653717,ai_signal,-0.00544870911492934,-7413.5,1
2025-10-09,27301.92,0.9999934434890747,2025-10-17,27302.37,0.5746685266494751,ai_signal,1.648235728479719e-05,22.050000000046566,5
2025-10-20,27688.63,0.9999934434890747,2025-10-21,27752.41,0.5299192070960999,ai_signal,0.0023034725806223566,3125.219999999972,1
2025-10-27,27993.63,0.9999934434890747,2025-10-28,27949.11,0.663742184638977,ai_signal,-0.0015903618073112025,-2136.9599999999627,1
2025-10-29,28294.74,0.9999934434890747,2025-10-31,28233.35,0.6268118023872375,ai_signal,-0.0021696612161837825,-2946.720000000205,2
2025-11-04,28116.56,0.9999934434890747,2025-11-28,27626.48,0.5984004735946655,ai_signal,-0.017430297305218057,-23523.840000000084,18
2025-12-03,27793.04,0.9999934434890747,2025-12-04,27795.71,0.6437558531761169,ai_signal,9.606721682842156e-05,128.160000000149,1
2025-12-05,27980.89,0.9999934434890747,2025-12-08,28303.78,0.6609711050987244,ai_signal,0.01153966153328212,15175.829999999842,1
2025-12-09,28182.6,0.9999934434890747,2025-12-10,28400.73,0.5234310030937195,ai_signal,0.007739882054885072,10252.110000000102,1
2025-12-11,28024.75,0.9999934434890747,2025-12-12,28198.02,0.5533534288406372,ai_signal,0.0061827491770667375,8316.959999999963,1
