type,return,base_return,profit,hold_days,leverage
AI_S1,-0.08964760168982633,-0.08964760168982633,-2127.3600000000006,24,1.0
AI_S1,-0.08478152929493554,-0.08478152929493554,-2001.1900000000023,26,1.0
AI_S1,-0.08718036043946387,-0.08718036043946387,-2063.220000000001,27,1.0
AI_S1,-0.08660761134602923,-0.08660761134602923,-4096.760000000002,50,1.0
AI_S1,-0.08259062133855055,-0.08259062133855055,-3889.6399999999994,51,1.0
AI_S1,-0.08355630103140932,-0.08355630103140932,-1753.5,215,1.0
AI_S1,-0.1149579699784875,-0.1149579699784875,-2397.7599999999984,217,1.0
AI_S1,-0.10859565287094786,-0.10859565287094786,-2248.8899999999994,218,1.0
AI_S1,-0.10217613445410845,-0.10217613445410845,-2100.8199999999997,219,1.0
AI_S1,-0.1082369468191845,-0.1082369468191845,-2240.5599999999977,220,1.0
AI_S1,-0.10620847864747562,-0.10620847864747562,-2193.579999999998,221,1.0
AI_S1,-0.10053738894944331,-0.10053738894944331,-2063.3600000000006,222,1.0
AI_S1,0.8842709593097351,0.8842709593097351,39132.80999999999,699,1.0
AI_S1,0.8841726087142199,0.8841726087142199,39130.50000000001,701,1.0
AI_S1,0.7569077859581093,0.37845389297905463,31083.159999999996,150,2.0
AI_S1,0.7975031418287988,0.3987515709143994,32275.0,152,2.0
AI_S1,0.7978349824021889,0.39891749120109443,32284.6,153,2.0
AI_S1,0.8255166985201958,0.4127583492600979,33077.47999999999,154,2.0
AI_S1,0.7768231506086531,0.7768231506086531,12374.349999999999,647,1.0
AI_S1,0.7836950452670333,0.7836950452670333,12435.72,654,1.0
AI_S1,0.7784677059573852,0.7784677059573852,12389.079999999998,659,1.0
AI_S1,0.7841571613627121,0.7841571613627121,12439.829999999998,660,1.0
AI_S1,0.7848389665964388,0.7848389665964388,12445.89,672,1.0
AI_S1,0.7955252351792208,0.7955252351792208,12540.269999999999,673,1.0
AI_S1,0.8256039329738081,0.8256039329738081,12799.989999999998,677,1.0
AI_S1,0.8080306723698263,0.8080306723698263,12649.3,685,1.0
AI_S1,0.8122340837626942,0.8122340837626942,12685.609999999999,689,1.0
AI_S1,0.814035555475797,0.814035555475797,12701.119999999999,692,1.0
AI_S1,0.8149079586230599,0.8149079586230599,12708.619999999999,693,1.0
AI_S1,0.8267786769176355,0.8267786769176355,38429.88,696,1.0
AI_S1,0.9093046269831686,0.9093046269831686,40438.95,699,1.0
AI_S1,0.9120351605354604,0.9120351605354604,40502.46,702,1.0
